prompt_id	prompt_type	prompt													
386	wouldyou	Would you rather witness a volcano erupting or witness a meteor hitting earth?													
387	wouldyou	Would you rather get water thrown on your face every morning when you wake up or get slapped every morning when you wake up?													
388	wouldyou	Would you rather get any real-world item you want in any video game or get a Minecraft item you want in the real world?													
389	wouldyou	Would you rather be completely bald for the rest of your life or have no eyebrows for the rest of your life?													
390	wouldyou	Would you rather spend the day at a water park or spend the day at an amusement park?													
391	wouldyou	Would you rather be deaf with amazing artistic talent or be blind with amazing musical talent?													
392	wouldyou	Would you rather arrive everywhere 30 minutes early or arrive everywhere 10 minutes late?													
393	wouldyou	Would you rather lose all the apps in your smartphone apart from your favorite app or losing all your favorite app?													
394	icebreaker	If you could be any celebrity, who would it be?													
395	icebreaker	What is your favorite memory of your childhood friends?													
396	icebreaker	What is your favorite junk food?													
397	icebreaker	Who is the messiest person that you know?													
398	icebreaker	Did you ever buy something outrageous that you regretted?													
399	icebreaker	If you could change your name, what would you choose?													
400	icebreaker	What movie did you see that you were disappointed in, but everyone loved?													
401	icebreaker	What reality TV show do you secretly enjoy?													
402	icebreaker	Are you good at keeping secrets?													
403	icebreaker	What is a perfect workout song?													
404	icebreaker	What phobia do you have?													
405	icebreaker	If you were reincarnated as an animal, what would you be?													
406	icebreaker	Do you believe in horoscopes?													
407	icebreaker	What is something you have never told anyone?													
408	icebreaker	What time in your life would you like a do over?													
409	icebreaker	What was your first car? And what crazy memory do you have with it?													
410	icebreaker	What was your craziest dream?													
411	icebreaker	What would you never do?													
412	icebreaker	Do you have any babysitting stories when you were young?													
413	icebreaker	What was your worst date ever?													
414	icebreaker	Have you ever been to a psychic? What happened?													
415	icebreaker	Have you ever written a love letter?													
416	icebreaker	What makes you very nervous?													
417	icebreaker	Have you ever thrown someone a party?													
418	icebreaker	What would you like to change about yourself?													
419	icebreaker	How do you feel about Disney?													
420	icebreaker	Has your heart ever been broken?													
421	icebreaker	Do you have any enemies?													
422	icebreaker	Have you ever had a tree house as a kid?													
423	icebreaker	What was the best decision that you have ever made?													
424	icebreaker	Where do you see yourself in 5 years?													
425	icebreaker	Who is the happiest person that you know?													
426	icebreaker	Have you ever thought of baby names?													
427	icebreaker	What songs take you back to your teen years?													
428	icebreaker	Would you ever let your parents pick a date for you?													
429	icebreaker	Do you believe in destiny?													
430	icebreaker	What is your favorite thing to make to eat?													
431	icebreaker	Are you a good judge of character? Have you ever really got it wrong?													
432	icebreaker	What is your favorite scent?													
433	icebreaker	What is your favorite season? why?													
434	icebreaker	What is the biggest lie that you have ever told?													
435	icebreaker	What is your favorite ethnic food?													
436	icebreaker	If you won the lottery, what would you do with the money?													
